[TEXTURES]

0	Textures\overworld-maps1.png	1	1	1
1	Textures\black-background.png	1	1	1
2	Textures\blackBgr_big.png	1	1	1
3	Textures\overworld_map_sprite.png	166	185	255

[SPRITES]
#map1
10001	0	0	234	162	0

#score board
10020	0	0	500	64	1

#background
10099	0	0	352	200	2

#tree
10101	4	13	20	29	3
10102	24	13	40	29	3
10103	44	13	60	29	3

[ANIMATIONS]
#map1
1	10001	100

#score board
20	10020	100

#background
99	10099	100

#tree
101	10101	200	10102	200	10103	200	10102	200

[ANIMATION_SETS]
#map1
1	1

#score board
20	20

#background
99	99

#tree
101	101

#tree

[OBJECTS]
# tree
3	42	8	101
3	42	24	101
3	58	8	101
3	58	24	101
3	74	8	101
3	74	24	101

3	42	56	101
3	42	72	101
3	42	88	101
3	58	56	101
3	58	72	101
3	74	56	101
3	74	72	101

3	106	24	101
3	122	24	101
3	138	24	101
3	106	40	101
3	122	40	101
3	138	40	101
3	106	56	101
3	122	56	101
3	138	56	101

3	122	88	101
3	138	88	101
3	154	88	101

3	170	24	101
3	186	24	101
3	202	24	101

3	170	56	101
3	170	72	101
3	186	56	101
3	186	72	101
3	202	56	101
3	218	56	101

3	234	8	101
3	234	24	101
3	234	40	101
3	234	56	101

3	250	8	101
3	250	24	101
3	250	40	101
3	250	56	101
3	250	72	101
3	250	88	101
3	250	104	101
3	250	120	101
3	250	136	101

#map1
1	36	3	1

#scoreboard
2	-12	165	20

#background
3	0	0	99

