# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	Textures\mario.png	255	255	255
1	Textures\enemies-2.png	0	255	255
2	Textures\tiles-1.png	4	193	170
3	Textures\tiles-2.png	255	128	192
4	Textures\1-1.png	156	252	240
5	Textures\enemies-1.png	0	0	0
6	Textures\tiles-3.png	176	224	248
7	Textures\enemies.png	0	0	0

# id	left	top	right	bottom	texture_id
[SPRITES]
# SMALL MARIO 
# idle small right
10001	217	89	229	104	0
# walk
10002	217	89	229	104	0		
10003	257	89	272	105	0
# jump
10004	335	89	351	105	0
# kick
10005	255	129	271	145	0	
# take tortoiseshell
10006	336	169	350	185	0
10007	377	169	392	185	0
# idle small left
10011	177	89	189	104	0
#walk
10012	177	89	189	104	0
10013	135	89	150	105	0
# jump 
10014	55	89	71	105	0
# kick
10015	135	129	151	145	0
# take tortoiseshell
10016	56	169	70	185	0
10017	15	169	30	185	0
# die 
10099	375	209	391	225	0

# BIG MARIO
# idle right
10021	216	243	230	270	0
# walk
10022	255	243	271	270	0
10023	295	244	311	270	0
# jump
10024	335	244	351	270	0
# kick
10025	252	283	273	310	0
# take tortoiseshell
10026	331	323	345	350	0
10027	357	323	372	350	0
10028	382	323	397	350	0

# idle left
10031	176	243	190	270	0
# walk
10032	135	243	151	270	0
10033	95	244	111	270	0
#jump
10034	55	244	71	270	0
#kick
10035	133	283	154	310	0
# take tortoiseshell
10036	61	323	75	350	0
10037	35	323	50	350	0
10038	10	323	25	350	0


# TAIL MARIO
# idle right
10041	212	443	233	471	0
# walk
10042	236	443	259	471	0
10043	262	443	284	471	0
10044	291	443	314	470	0
# jump
10045	331	443	354	470	0
# kick
10046	247	483	269	511	0
# take tortoiseshell
10047	322	523	343	551	0
10048	352	523	374	551	0
10049	382	523	405	551	0

# idle left
10051	173	443	194	471	0
# walk
10052	147	443	170	471	0
10053	122	443	144	471	0
10054	92	443	115	470	0
# jump
10055	52	443	75	470	0
#kick
10056	137	483	159	511	0
# take tortoiseshell
10057	63	523	84	551	0
10058	33	523	55	551	0
10059	2	523	25	551	0

# FIRE MARIO
# idle right
10061	216	683	230	710	0
# walk
10062	255	683	271	710	0
10063	295	684	311	710	0
# jump
10064	335	684	351	710	0
#kick
10065	252	723	273	750	0
# take tortoiseshell
10066	331	763	345	790	0
10067	357	763	372	790	0
10068	381	764	397	790	0

# idle left
10071	176	683	190	710	0
# walk
10072	135	683	151	710	0
10073	95	684	111	710	0
# jump
